Date	Price	Open	High	Low
2022-04-29	37650.00	38590.00	38776.00	37596.00
2022-04-28	38581.00	39748.00	39919.00	38175.00
2022-04-27	39748.00	39243.00	40382.00	38888.00
2022-04-26	39243.00	38113.00	39447.00	37869.00
2022-04-25	38113.00	40443.00	40770.00	37708.00
2022-04-24	40427.00	39464.00	40599.00	38233.00
2022-04-23	39464.00	39434.00	39929.00	39033.00
2022-04-22	39418.00	39709.00	39973.00	39291.00
2022-04-21	39709.00	40487.00	40792.00	39200.00
2022-04-20	40482.00	41370.00	42969.00	39793.00
2022-04-19	41368.00	41499.00	42203.00	40915.00
2022-04-18	41503.00	40809.00	41746.00	40585.00
2022-04-17	40803.00	39700.00	41095.00	38577.00
2022-04-16	39703.00	40382.00	40599.00	39561.00
2022-04-15	40382.00	40571.00	40691.00	40003.00
2022-04-14	40560.00	39936.00	40850.00	39781.00
2022-04-13	39936.00	41133.00	41494.00	39585.00
2022-04-12	41133.00	40072.00	41515.00	39581.00
2022-04-11	40078.00	39507.00	40678.00	39265.00
2022-04-10	39497.00	42144.00	42418.00	39202.00
2022-04-09	42138.00	42760.00	43421.00	41884.00
2022-04-08	42767.00	42275.00	42809.00	42129.00
2022-04-07	42275.00	43450.00	43979.00	42113.00
2022-04-06	43448.00	43166.00	43893.00	42747.00
2022-04-05	43173.00	45494.00	45519.00	43122.00
2022-04-04	45506.00	46614.00	47201.00	45388.00
2022-04-03	46629.00	46407.00	46899.00	45152.00
2022-04-02	46407.00	45813.00	47435.00	45554.00
2022-04-01	45811.00	46299.00	47212.00	45641.00
2022-03-31	46297.00	45529.00	46728.00	44261.00
2022-03-30	45525.00	47071.00	47624.00	45228.00
2022-03-29	47075.00	47449.00	47714.00	46601.00
2022-03-28	47449.00	47126.00	48127.00	47029.00
2022-03-27	47105.00	46859.00	48199.00	46672.00
2022-03-26	46859.00	44542.00	46947.00	44445.00
2022-03-25	44548.00	44331.00	44818.00	44090.00
2022-03-24	44331.00	44013.00	45112.00	43622.00
2022-03-23	44013.00	42911.00	44251.00	42658.00
2022-03-22	42912.00	42373.00	43027.00	41795.00
2022-03-21	42373.00	41022.00	43327.90	40893.00
2022-03-20	41022.00	41282.00	41532.00	40530.00
2022-03-19	41276.00	42241.00	42301.00	40922.00
2022-03-18	42233.00	41768.00	42386.00	41529.60
2022-03-17	41767.80	40914.60	42308.40	40234.80
2022-03-16	40914.80	41118.70	41406.00	40557.80
2022-03-15	41118.70	39282.50	41701.60	38953.20
2022-03-14	39285.70	39673.00	39854.70	38220.90
