Date,TweetCount
09/04/14,8193
10/04/14,15039
11/04/14,14907
12/04/14,7582
13/04/14,10674
14/04/14,13266
15/04/14,14835
16/04/14,15790
17/04/14,15215
18/04/14,14028
19/04/14,12337
20/04/14,12139
21/04/14,14244
22/04/14,16098
23/04/14,16232
24/04/14,15471
25/04/14,15255
26/04/14,12283
27/04/14,11667
28/04/14,15969
29/04/14,16706
30/04/14,17588
01/05/14,16988
02/05/14,20057
03/05/14,12910
04/05/14,12716
05/05/14,21273
06/05/14,16806
07/05/14,16970
08/05/14,21518
09/05/14,17442
10/05/14,14225
11/05/14,13469
12/05/14,15910
13/05/14,16935
14/05/14,18167
15/05/14,32817
16/05/14,14474
17/05/14,14587
18/05/14,12892
19/05/14,13595
20/05/14,21515
21/05/14,20254
22/05/14,20217
23/05/14,19485
24/05/14,13630
25/05/14,13823
26/05/14,14792
27/05/14,19718
28/05/14,18545
29/05/14,17571
30/05/14,21731
31/05/14,12882
01/06/14,12849
02/06/14,16427
03/06/14,17858
04/06/14,18010
05/06/14,18707
06/06/14,16611
07/06/14,12557
08/06/14,12134
09/06/14,14497
10/06/14,16631
11/06/14,19356
12/06/14,19092
13/06/14,19128
14/06/14,16078
15/06/14,15810
16/06/14,18430
17/06/14,18560
18/06/14,15957
19/06/14,17605
20/06/14,17459
21/06/14,15113
22/06/14,13838
23/06/14,16325
24/06/14,17005
25/06/14,17683
26/06/14,17534
27/06/14,17587
28/06/14,15236
29/06/14,15482
30/06/14,19860
01/07/14,20443
02/07/14,21375
03/07/14,22046
04/07/14,22659
05/07/14,16997
06/07/14,17331
07/07/14,22248
08/07/14,24425
09/07/14,24542
10/07/14,23242
11/07/14,20939
12/07/14,16719
13/07/14,16133
14/07/14,20287
15/07/14,25031
16/07/14,21984
17/07/14,23305
18/07/14,25897
19/07/14,20261
20/07/14,16827
21/07/14,18501
22/07/14,18386
23/07/14,20612
24/07/14,20448
25/07/14,19971
26/07/14,16000
27/07/14,15621
28/07/14,23384
29/07/14,21797
30/07/14,22092
31/07/14,22160
01/08/14,21585
02/08/14,18531
03/08/14,17187
04/08/14,20609
05/08/14,21073
06/08/14,22471
07/08/14,24516
08/08/14,23126
09/08/14,21820
10/08/14,20814
11/08/14,21388
12/08/14,22551
13/08/14,23725
14/08/14,24887
15/08/14,22725
16/08/14,23487
17/08/14,22608
18/08/14,21867
19/08/14,24106
20/08/14,26924
21/08/14,22176
22/08/14,21222
23/08/14,17389
24/08/14,16318
25/08/14,19062
26/08/14,19596
27/08/14,19625
28/08/14,22229
29/08/14,19838
30/08/14,18905
31/08/14,17226
01/09/14,18661
02/09/14,22901
03/09/14,22113
04/09/14,24968
05/09/14,22368
06/09/14,21053
07/09/14,17730
08/09/14,22751
09/09/14,16169
10/09/14,16616
11/09/14,27367
12/09/14,24097
13/09/14,18209
14/09/14,18671
15/09/14,23392
16/09/14,21176
17/09/14,27946
18/09/14,21135
19/09/14,20775
20/09/14,17607
21/09/14,17026
22/09/14,14984
23/09/14,23489
24/09/14,20675
25/09/14,20757
26/09/14,19512
27/09/14,17202
