Date,TweetCount
09/04/14,986
10/04/14,2457
11/04/14,3327
12/04/14,1614
13/04/14,2287
14/04/14,3056
15/04/14,3535
16/04/14,4672
17/04/14,2910
18/04/14,2974
19/04/14,3108
20/04/14,3774
21/04/14,5148
22/04/14,4331
23/04/14,4642
24/04/14,4607
25/04/14,5147
26/04/14,5020
27/04/14,3615
28/04/14,5502
29/04/14,5031
30/04/14,4931
01/05/14,4727
02/05/14,5180
03/05/14,6500
04/05/14,7787
05/05/14,6189
06/05/14,5396
07/05/14,4948
08/05/14,4047
09/05/14,5589
10/05/14,3137
11/05/14,5503
12/05/14,5930
13/05/14,5619
14/05/14,6559
15/05/14,7130
16/05/14,4689
17/05/14,6791
18/05/14,5378
19/05/14,3527
20/05/14,4919
21/05/14,4420
22/05/14,4311
23/05/14,4286
24/05/14,3498
25/05/14,2660
26/05/14,2816
27/05/14,4604
28/05/14,3750
29/05/14,3645
30/05/14,3460
31/05/14,3134
01/06/14,3230
02/06/14,3038
03/06/14,4164
04/06/14,4641
05/06/14,3479
06/06/14,3304
07/06/14,2657
08/06/14,2984
09/06/14,3362
10/06/14,3041
11/06/14,3015
12/06/14,2735
13/06/14,2838
14/06/14,2194
15/06/14,2417
16/06/14,2689
17/06/14,2696
18/06/14,2518
19/06/14,2696
20/06/14,2874
21/06/14,1884
22/06/14,2345
23/06/14,2806
24/06/14,2781
25/06/14,2923
26/06/14,2724
27/06/14,2631
28/06/14,1651
29/06/14,1876
30/06/14,2728
01/07/14,2686
02/07/14,2709
03/07/14,2165
04/07/14,2080
05/07/14,1788
06/07/14,2081
07/07/14,2993
08/07/14,3498
09/07/14,7428
10/07/14,7776
11/07/14,13365
12/07/14,2005
13/07/14,1901
14/07/14,2446
15/07/14,2585
16/07/14,3157
17/07/14,2681
18/07/14,2374
19/07/14,1698
20/07/14,1686
21/07/14,3106
22/07/14,2031
23/07/14,2748
24/07/14,2569
25/07/14,2650
26/07/14,1698
27/07/14,1488
28/07/14,2395
29/07/14,1811
30/07/14,2356
31/07/14,2204
01/08/14,1869
02/08/14,1398
03/08/14,1432
04/08/14,2159
05/08/14,2052
06/08/14,2103
07/08/14,2320
08/08/14,2236
09/08/14,1484
10/08/14,1481
11/08/14,2155
12/08/14,2323
13/08/14,2383
14/08/14,2703
15/08/14,2482
16/08/14,1670
17/08/14,1361
18/08/14,2322
19/08/14,2417
20/08/14,2552
21/08/14,2473
22/08/14,2246
23/08/14,1473
24/08/14,1537
25/08/14,2458
26/08/14,2647
27/08/14,1468
28/08/14,1331
29/08/14,1112
30/08/14,1150
31/08/14,1181
01/09/14,1349
02/09/14,1281
03/09/14,1647
04/09/14,2550
05/09/14,2775
06/09/14,2044
07/09/14,1647
08/09/14,2326
09/09/14,1422
10/09/14,1994
11/09/14,2718
12/09/14,3003
13/09/14,2409
14/09/14,2917
15/09/14,3131
16/09/14,3076
17/09/14,3663
18/09/14,3537
19/09/14,3522
20/09/14,2914
21/09/14,2301
22/09/14,2958
23/09/14,3271
24/09/14,4375
25/09/14,3834
26/09/14,4717
27/09/14,3365
28/09/14,3043
29/09/14,3234
30/09/14,2953
01/10/14,2833
02/10/14,2648
03/10/14,2430
04/10/14,2062
05/10/14,1950
06/10/14,3135
07/10/14,2935
08/10/14,2978
09/10/14,3340
10/10/14,2797
11/10/14,2207
12/10/14,2412
13/10/14,3039
14/10/14,3336
15/10/14,3479
16/10/14,4724
17/10/14,3840
18/10/14,3683
19/10/14,3096
20/10/14,3824
21/10/14,3850
22/10/14,4221
23/10/14,3760
24/10/14,1536
25/10/14,2317
26/10/14,2634
27/10/14,3312
28/10/14,3593
29/10/14,3744
30/10/14,4068
31/10/14,3049
01/11/14,2204
02/11/14,2238
03/11/14,3136
04/11/14,3252
05/11/14,3765
06/11/14,3412
07/11/14,3644
08/11/14,2464
09/11/14,3062
10/11/14,3104
11/11/14,3084
12/11/14,4382
13/11/14,3181
14/11/14,2854
15/11/14,2240
16/11/14,2207
17/11/14,2879
18/11/14,3045
19/11/14,3027
20/11/14,2824
21/11/14,2888
22/11/14,2594
23/11/14,2379
24/11/14,4276
25/11/14,4020
26/11/14,5161
27/11/14,3812
28/11/14,3483
29/11/14,3571
30/11/14,4099
01/12/14,4172
02/12/14,4181
03/12/14,3481
04/12/14,3362
05/12/14,3674
06/12/14,2664
07/12/14,3326
08/12/14,3683
09/12/14,3363
10/12/14,3287
11/12/14,3617
12/12/14,3072
13/12/14,2706
14/12/14,2784
15/12/14,2958
16/12/14,3322
17/12/14,3120
18/12/14,3122
19/12/14,2624
20/12/14,2324
21/12/14,1879
22/12/14,2630
23/12/14,2841
