Date,TweetCount
16/03/16,1185
17/03/16,1211
18/03/16,1123
19/03/16,943
20/03/16,1304
21/03/16,2233
22/03/16,859
23/03/16,944
24/03/16,1982
25/03/16,927
26/03/16,712
27/03/16,716
28/03/16,1298
29/03/16,1589
30/03/16,1745
31/03/16,988
01/04/16,830
02/04/16,743
03/04/16,846
04/04/16,1000
05/04/16,1067
06/04/16,967
07/04/16,2284
08/04/16,862
09/04/16,759
10/04/16,1073
11/04/16,891
12/04/16,1150
13/04/16,907
14/04/16,978
15/04/16,1139
16/04/16,701
17/04/16,781
18/04/16,1014
19/04/16,962
20/04/16,984
21/04/16,883
22/04/16,924
23/04/16,607
24/04/16,543
25/04/16,923
26/04/16,894
27/04/16,735
28/04/16,935
29/04/16,916
30/04/16,951
01/05/16,773
02/05/16,1114
03/05/16,2628
04/05/16,1261
05/05/16,1181
06/05/16,1085
07/05/16,703
08/05/16,856
09/05/16,1110
10/05/16,970
11/05/16,1078
12/05/16,905
13/05/16,946
14/05/16,764
15/05/16,1009
16/05/16,1588
17/05/16,1346
18/05/16,1636
19/05/16,1929
20/05/16,1638
21/05/16,977
22/05/16,1162
23/05/16,1236
24/05/16,1407
25/05/16,1470
26/05/16,1380
27/05/16,1171
28/05/16,1714
29/05/16,1409
30/05/16,3305
31/05/16,1465
01/06/16,2023
02/06/16,1294
03/06/16,1188
04/06/16,844
05/06/16,1091
06/06/16,1072
07/06/16,1500
08/06/16,1673
09/06/16,1573
10/06/16,1324
11/06/16,1086
12/06/16,1200
13/06/16,1766
14/06/16,2136
15/06/16,1780
16/06/16,2106
17/06/16,6219
18/06/16,4386
19/06/16,3235
20/06/16,2649
21/06/16,2523
22/06/16,2402
23/06/16,1877
24/06/16,1896
25/06/16,1315
26/06/16,1175
27/06/16,1425
28/06/16,1512
29/06/16,1945
30/06/16,1303
01/07/16,1241
02/07/16,1326
03/07/16,1061
04/07/16,933
05/07/16,1128
06/07/16,1020
07/07/16,1186
08/07/16,1122
09/07/16,817
10/07/16,961
11/07/16,1236
12/07/16,1087
13/07/16,934
14/07/16,1023
15/07/16,1280
16/07/16,1102
17/07/16,1330
18/07/16,1377
19/07/16,1904
20/07/16,3555
21/07/16,2207
22/07/16,2045
23/07/16,1362
24/07/16,2808
25/07/16,2338
26/07/16,2943
27/07/16,2343
28/07/16,1948
29/07/16,2028
30/07/16,1618
31/07/16,1574
01/08/16,1862
02/08/16,3703
03/08/16,1734
04/08/16,1466
05/08/16,1850
06/08/16,1036
07/08/16,970
08/08/16,1441
09/08/16,1517
10/08/16,1293
11/08/16,1467
12/08/16,1586
13/08/16,1400
14/08/16,1219
15/08/16,1396
16/08/16,1516
17/08/16,1285
18/08/16,1372
19/08/16,1246
20/08/16,978
21/08/16,938
22/08/16,968
23/08/16,1294
24/08/16,1296
25/08/16,1485
26/08/16,1590
27/08/16,1103
28/08/16,1288
29/08/16,4367
30/08/16,1240
31/08/16,1228
01/09/16,1287
02/09/16,1191
03/09/16,943
04/09/16,884
05/09/16,1012
06/09/16,1872
07/09/16,1645
08/09/16,1492
09/09/16,1618
10/09/16,1882
11/09/16,1272
12/09/16,1291
13/09/16,1453
14/09/16,2093
15/09/16,1963
16/09/16,1498
17/09/16,1691
18/09/16,1310
19/09/16,1818
20/09/16,2688
21/09/16,2490
22/09/16,2824
23/09/16,3588
24/09/16,2011
25/09/16,1739
26/09/16,2414
27/09/16,2841
28/09/16,2583
29/09/16,2935
30/09/16,1915
01/10/16,1485
02/10/16,1556
03/10/16,1836
04/10/16,1996
05/10/16,1738
06/10/16,1940
07/10/16,1830
08/10/16,1573
09/10/16,1403
10/10/16,1398
11/10/16,1669
12/10/16,1481
13/10/16,1713
