Date,Price,Open,High,Low
2022-04-30,2727.18,2817.14,2841.16,2716.31
2022-04-29,2816.66,2937.01,2946.18,2778.33
2022-04-28,2937.01,2889.01,2977.78,2856.42
2022-04-27,2888.99,2810.42,2916.39,2795.58
2022-04-26,2810.42,3006.04,3032.70,2768.38
2022-04-25,3006.04,2922.03,3023.23,2800.21
2022-04-24,2922.03,2931.90,2966.94,2915.66
2022-04-23,2931.90,2963.00,2977.45,2917.84
2022-04-22,2963.00,2983.91,3029.14,2937.47
2022-04-21,2983.95,3076.06,3176.69,2950.97
2022-04-20,3076.38,3101.79,3161.90,3037.67
2022-04-19,3102.01,3055.86,3128.86,3030.32
2022-04-18,3055.64,2989.05,3069.07,2887.25
2022-04-17,2989.05,3058.96,3081.14,2983.17
2022-04-16,3058.96,3042.01,3084.84,3011.47
2022-04-15,3042.01,3021.93,3056.84,2996.62
2022-04-14,3021.93,3117.21,3143.18,2980.84
2022-04-13,3116.92,3027.64,3128.20,2999.66
2022-04-12,3027.25,2978.45,3082.02,2951.80
2022-04-11,2978.29,3201.99,3213.52,2953.66
2022-04-10,3201.84,3259.59,3306.14,3198.10
2022-04-09,3259.35,3193.54,3268.18,3182.10
2022-04-08,3193.93,3228.83,3311.42,3174.14
2022-04-07,3228.84,3169.58,3268.56,3143.96
2022-04-06,3169.58,3406.83,3406.87,3164.24
2022-04-05,3406.78,3520.35,3554.54,3400.74
2022-04-04,3520.41,3521.16,3544.92,3412.01
2022-04-03,3521.10,3442.34,3579.82,3414.40
2022-04-02,3442.34,3456.18,3529.63,3436.79
2022-04-01,3456.18,3282.33,3478.74,3215.33
2022-03-31,3282.35,3385.60,3444.43,3263.36
2022-03-30,3385.64,3401.86,3445.98,3333.50
2022-03-29,3401.89,3329.67,3481.23,3329.67
2022-03-28,3329.38,3295.73,3428.41,3275.32
2022-03-27,3297.04,3145.95,3297.40,3126.46
2022-03-26,3146.01,3103.43,3150.09,3085.80
2022-03-25,3103.51,3110.80,3192.73,3081.71
2022-03-24,3109.25,3036.18,3126.37,3005.99
2022-03-23,3036.12,2969.64,3042.28,2925.78
2022-03-22,2969.64,2891.41,3048.32,2887.69
2022-03-21,2891.63,2861.66,2960.42,2830.38
2022-03-20,2861.69,2950.03,2962.19,2819.27
2022-03-19,2949.92,2939.76,2984.00,2895.30
2022-03-18,2939.76,2812.29,2983.11,2768.65
